year,month,day,metric,count
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Agriculture Loan Repayments (misc),172
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Air Transport Security Fees,1
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Cash FTD's Received (Table IV),45571
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Commodity Credit Corporation programs,75
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Customs and Certain Excise Taxes,76
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Deposits by States::Supplemental Security Income,2
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Deposits by States::Unemployment,15
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Education Department programs,245
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Energy Department programs,22
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Estate and Gift Taxes,113
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Federal Reserve Earnings,0
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Foreign Military Sales Program,1792
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Housing and Urban Development programs,7
2018,1,2,"Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Individual Income and Employment Taxes, Not Withheld",637
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Interest recd from cash investments,0
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Justice Department programs,18
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Postal Service,412
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Public Debt Cash Issues (Table III-B),99975
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Agency for Internat'l Development,80
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Defense Finance & Accounting Service,50
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Export-Import Bank,79
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Federal Finance Bank,118
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Medicare Premiums,125
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Minerals Management Svc/Collections,246
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Natl Railroad Retirement Inv Trust,249
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Other Deposits::Total Other Deposits,947
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Change in Balance of Uncollected Funds,0
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Transfers from Depositaries,0
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Federal Reserve Account::Total Federal Reserve Account,150082
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Short-Term Cash Investments::Transfers from Federal Reserve Account (Table V),0
2018,1,2,Deposits and Withdrawals of Operating Cash::Deposits::Total Deposits (excluding transfers),150082
